ds,yhat,yhat_lower,yhat_upper
2007-12-10,8.84473189276481,8.273388956165205,9.473046592462596
2007-12-11,8.593259649093246,7.969219333347442,9.230894097386079
2007-12-12,8.389076432840083,7.744777899846741,8.995739347928733
2007-12-13,8.366995611851008,7.7891262940386925,8.993832097057615
2007-12-14,8.354952462804013,7.771764803149857,8.958035644720605
2007-12-15,8.100236596260498,7.459214549549991,8.731710232277756
2007-12-16,8.450104153594012,7.847418221228314,9.097917828838273
2007-12-17,8.746695287519193,8.159764210832087,9.371679661001995
2007-12-18,8.509495149591354,7.886470297750339,9.110312608094924
2007-12-19,8.321644191272634,7.684567928547235,8.8780757053096
2007-12-20,8.31756377781325,7.709211919466968,8.968650231759998
2007-12-21,8.32477237796783,7.693017625791661,8.914718526341792
2007-12-22,8.090130616674621,7.4690435928188785,8.693030925745964
2007-12-23,8.460466048716558,7.811976910422908,9.086138677828838
2007-12-24,8.777502772095275,8.163247689691422,9.439515084875048
2007-12-25,8.560333730966441,7.947453098934163,9.173127795356873
2007-12-26,8.391741172212402,7.780650001068246,8.997589271501795
2007-12-27,8.40583095394923,7.784987041426413,9.017777284117889
2007-12-28,8.42985571870053,7.8276346457772314,9.033852295252144
2007-12-29,8.210465026392122,7.59886851118551,8.811037269947887
2007-12-30,8.594333177178022,7.9412148017431745,9.237940983127148
2007-12-31,8.923089782491177,8.309426503083964,9.557270224449253
2008-01-01,8.715790943078773,8.062925912060496,9.301797496112613
2008-01-02,8.555236575580219,7.9410968250685885,9.137558469450006
2008-01-03,8.575599729288387,7.985755577441281,9.213506392999681
2008-01-04,8.604243110125704,7.965863051235495,9.243444096190036
2008-01-05,8.387961165483965,7.757730044116668,9.0158999051459
2008-01-06,8.773598764157878,8.16245335761013,9.353037274511081
2008-01-07,9.102971869778399,8.501627423172911,9.773471887114697
2008-01-08,8.895328431199399,8.240244878000206,9.509911011170832
2008-01-09,8.733655408981596,8.133793712785726,9.378568351637776
2008-01-10,8.752298157669337,8.113773459396294,9.381310426951497
2008-01-11,8.778767747190873,8.151458246845376,9.37238646203881
2008-01-12,8.559974919449706,7.904990584688277,9.122542944108941
2008-01-13,8.94284202163854,8.301902640951093,9.533378522955875
2008-01-14,9.269218576578576,8.647822191694068,9.874541585239038
2008-01-15,9.058338921183159,8.415798029883144,9.69822698092782
2008-01-16,8.893127978439455,8.236032708476259,9.509616347567611
2008-01-17,8.907821462076484,8.312038257192983,9.55957854061999
2008-01-18,8.92977610683813,8.341266038786443,9.506201211801955
2008-01-19,8.705708559038579,8.069441815848036,9.313017744492326
2008-01-20,9.08231413779783,8.493488531326754,9.697097971911608
2008-01-21,9.401190929802231,8.786744844327794,10.005565436868677
2008-01-22,9.181307390440164,8.581749694809732,9.799415547323479
2008-01-23,9.005319205150872,8.391009308744037,9.641874097629533
2008-01-24,9.007201354603168,8.353142681667737,9.61806367471991
2008-01-25,9.014070587712064,8.375589498008614,9.675751150212793
2008-01-26,8.772436526885501,8.14330023766232,9.376323073076653
2008-01-27,9.128832196856544,8.470196455751186,9.752275320735926
2008-01-28,9.42474902531949,8.7812424466808,10.015284887701943
2008-01-29,9.17911409110764,8.538652848915548,9.747848148058024
2008-01-30,8.974615006987255,8.327474703408816,9.616673701630912
2008-02-01,8.918594515355386,8.288067232582426,9.570230025603069
2008-02-02,8.641173179754562,7.980841648761823,9.306506377052138
2008-02-03,8.959969743239942,8.324003364854724,9.568328088928327
2008-02-04,9.216918018713153,8.621686426349592,9.810308044329728
2008-02-05,8.931460790967439,8.302487881822374,9.530082436560416
2008-02-06,8.68686578551935,8.079712452762726,9.310252666865798
2008-02-07,8.617852547787955,8.052823447400986,9.22871242597935
2008-02-08,8.552405415643031,7.882828817079095,9.129984530190574
2008-02-09,8.238010920202282,7.630679175339578,8.847201623647363
2008-02-10,8.522270647725145,7.9225385574731275,9.11355454603664
2008-02-11,8.747814978713764,8.162842750537472,9.4230515841929
2008-02-12,8.434755965908948,7.863984191523161,9.052996855096039
2008-02-13,8.166985330165426,7.5302083026601005,8.783471912717257
2008-02-14,8.079783875898489,7.479281359630851,8.729011063853637
2008-02-15,8.001618013677565,7.366238520504678,8.595170308371127
2008-02-16,7.680362212069789,7.085074363148411,8.299520747711307
2008-02-17,7.9638988670219275,7.316274535918159,8.589358458361565
2008-02-18,8.195021414971821,7.563084929583555,8.815589115848828
2008-02-19,7.89387930354711,7.277144173539443,8.532845190557431
2008-02-20,7.644271082167725,6.982210793681592,8.335197160910536
2008-02-21,7.58125211949131,6.911902220315626,8.202724676229906
2008-02-22,7.5329327555194885,6.853476550702151,8.168023002065356
2008-02-23,7.246705740934403,6.660963507827376,7.871666038798194
2008-02-24,7.5698543905166185,6.944753236844335,8.17725965356961
2008-02-25,7.84446712390182,7.245312841586127,8.44101537459246
2008-02-26,7.589896766106896,6.986261771463404,8.206686258814221
2008-02-27,7.389070545773339,6.738496285005774,8.01326359525223
2008-02-29,7.37818442060033,6.783830590643602,8.0016013773955
2008-03-02,7.512956130333421,6.888110594993876,8.118840218581722
2008-03-05,7.457786975882388,6.851685992423995,8.066832673617315
2008-03-06,7.477807188336269,6.877994352936198,8.101695007954971
2008-03-07,7.5073185858391485,6.923678290203616,8.119230747652187
2008-03-08,7.292272081191295,6.705568962753623,7.922784102527542
2008-03-09,7.67865742454098,7.040950621958055,8.369229548129324
2008-03-10,8.007448588168598,7.404950100338187,8.62968071132665
2008-03-11,7.7970897802703005,7.199210143577678,8.406643822584066
2008-03-12,7.62982730492129,7.021017491373125,8.244509762570285
2008-03-13,7.6393527770577085,7.030235580798036,8.24962641145583
2008-03-14,7.652632576258317,7.0149236926836265,8.275892653501192
2008-03-15,7.416161567543614,6.778100096960083,8.012192027465437
2008-03-16,7.776591814198092,7.1647253416519865,8.479683955139532
2008-03-17,8.075661396313317,7.529888854727782,8.732835686701236
2008-03-18,7.832661305934549,7.213742273919573,8.421208353445556
2008-03-19,7.630746127356907,7.041876431128788,8.26441164241726
2008-03-20,7.6045545530839,6.9472181793596794,8.217180476739095
2008-03-21,7.582015208693557,6.968650397105679,8.240132041287609
2008-03-22,7.310576424269685,6.688353108467149,7.928054683329624
2008-03-23,7.637811297595075,7.0055010708229375,8.2822227473276
2008-03-24,7.906323774610115,7.27135864594817,8.502064614596325
2008-03-25,7.6361943056439054,7.013764027665136,8.25381155288725
2008-03-26,7.411271331137034,6.859660595328999,8.032162527693483
2008-03-27,7.366775142584801,6.740311010153585,7.960517191347397
2008-03-28,7.331090011993752,6.721340715310133,7.947689962109832
2008-03-29,7.051983573037745,6.436040116779476,7.618162610048879
2008-03-30,7.377205053820803,6.761533475205625,7.985027691733773
2008-03-31,7.64938824633724,7.035299566485912,8.275746949919302
2008-04-01,7.388497831229026,6.777787556566724,7.976044470591393
2008-04-02,7.178125270812802,6.550863197825383,7.73707428343418
2008-04-03,7.153100676051113,6.554254062278306,7.71617441730523
2008-04-04,7.141296305490299,6.517711147088715,7.783049808046254
2008-04-05,6.889860355751153,6.306058883499281,7.51454808867286
2008-04-06,7.245832240666184,6.667988016352016,7.893694008653323
2008-04-07,7.551064773521428,6.947116731179656,8.101550919957408
2008-04-08,7.324691345656246,6.731604293555285,7.8895990524754955
